"FID_DeerRa","COUNTY_NAM","Shape_Leng","Shape_Area","FID_dmu_20","DEER_MGMT_","DMUArea","AREA_SQM"
1,"Adams",3460444.06127,1300741778.31,126,"57C",1139.39353773,1.07145231048
1,"Adams",3460444.06127,1300741778.31,134,"53",1640.73782636,197.664905679
1,"Adams",3460444.06127,1300741778.31,143,"54A",1649.17038215,232.563861708
1,"Adams",3460444.06127,1300741778.31,148,"54B",737.654574548,0.371960149427
1,"Adams",3460444.06127,1300741778.31,151,"54C",369.123179944,69.059147938
1,"Adams",3460444.06127,1300741778.31,155,"70E-CWD",266.272271116,1.48788059117
2,"Ashland",3296207.87517,2595041129.74,0,"79",1.25940914084,0.463063962685
2,"Ashland",3296207.87517,2595041129.74,1,"79",31.7851752314,11.9599712509
2,"Ashland",3296207.87517,2595041129.74,2,"79",0.667220734605,0.236019783471
2,"Ashland",3296207.87517,2595041129.74,3,"79",4.22516902487,1.57708021612
2,"Ashland",3296207.87517,2595041129.74,4,"79",1.38615837137,0.500923547465
2,"Ashland",3296207.87517,2595041129.74,5,"79",5.42586577945,2.00898410031
2,"Ashland",3296207.87517,2595041129.74,6,"79",7.38356553924,2.76822476248
2,"Ashland",3296207.87517,2595041129.74,7,"79",5.33821783006,2.02477108924
2,"Ashland",3296207.87517,2595041129.74,8,"79",2.71616810838,1.00629593916
2,"Ashland",3296207.87517,2595041129.74,12,"79",5.2570374599,2.01056750956
2,"Ashland",3296207.87517,2595041129.74,13,"79",39.7120137372,15.2037769566
2,"Ashland",3296207.87517,2595041129.74,14,"79",20.2113592054,7.71182325551
2,"Ashland",3296207.87517,2595041129.74,19,"79",6.17161836336,2.28355370596
2,"Ashland",3296207.87517,2595041129.74,20,"79",3.10572441419,1.16774236079
2,"Ashland",3296207.87517,2595041129.74,21,"78",58.8342651677,21.9476695971
2,"Ashland",3296207.87517,2595041129.74,22,"79",7.72815681306,2.92597538144
2,"Ashland",3296207.87517,2595041129.74,25,"78",0.98157468714,0.285519532544
2,"Ashland",3296207.87517,2595041129.74,26,"7",500.91413447,180.33596039
