"FID_DeerRa","COUNTY_NAM","Shape_Leng","Shape_Area","FID_dmu_20","DEER_MGMT_","AREA","LEN","DMUArea","AREA_SQM"
1,"Adams",3460444.06127,1300741778.31,29,"70E-CWD",266272265.836,85489.4250943,266.272265836,1.48788025545
1,"Adams",3460444.06127,1300741778.31,33,"54C",369123185.482,96231.3603591,369.123185482,69.0591487084
1,"Adams",3460444.06127,1300741778.31,36,"54B",705992635.537,172630.495812,705.992635537,0.371960389378
1,"Adams",3460444.06127,1300741778.31,41,"54A",1649170374.06,201321.81192,1649.17037406,232.563861033
1,"Adams",3460444.06127,1300741778.31,50,"53",1640737828.59,182239.025084,1640.73782859,197.664905679
1,"Adams",3460444.06127,1300741778.31,58,"57C",1139393537.49,154067.554436,1139.39353749,1.07145231048
2,"Ashland",3296207.87517,2595041129.74,155,"14",884553176.912,128128.203776,884.553176912,187.277315737
2,"Ashland",3296207.87517,2595041129.74,156,"29A",709484583.569,145629.145725,709.484583569,39.7925838888
2,"Ashland",3296207.87517,2595041129.74,159,"13",2104514534.48,206937.685337,2104.51453448,33.1556064163
2,"Ashland",3296207.87517,2595041129.74,163,"28",1765337685.33,218003.33464,1765.33768533,209.28214315
2,"Ashland",3296207.87517,2595041129.74,164,"6",1590189582.99,221376.387726,1590.18958299,275.45996009
2,"Ashland",3296207.87517,2595041129.74,166,"7",500914130.526,122545.170477,500.914130526,180.33596039
2,"Ashland",3296207.87517,2595041129.74,167,"78",981574.68714,9777.74769504,0.98157468714,0.285519532544
2,"Ashland",3296207.87517,2595041129.74,170,"79",7728156.81306,12181.3589649,7.72815681306,2.92597538144
2,"Ashland",3296207.87517,2595041129.74,171,"78",58834265.1677,58601.5315907,58.8342651677,21.9476695971
2,"Ashland",3296207.87517,2595041129.74,172,"79",3105724.41419,7060.63013009,3.10572441419,1.16774236079
2,"Ashland",3296207.87517,2595041129.74,173,"79",6171618.36336,13196.6113856,6.17161836336,2.28355370596
2,"Ashland",3296207.87517,2595041129.74,178,"79",20211359.2054,18328.384874,20.2113592054,7.71182325551
2,"Ashland",3296207.87517,2595041129.74,179,"79",39712013.7372,34480.088844,39.7120137372,15.2037769566
2,"Ashland",3296207.87517,2595041129.74,180,"79",5257037.4599,10413.8808811,5.2570374599,2.01056750956
2,"Ashland",3296207.87517,2595041129.74,184,"79",2716168.10838,6309.45835819,2.71616810838,1.00629593916
2,"Ashland",3296207.87517,2595041129.74,185,"79",5338217.83006,9309.3569793,5.33821783006,2.02477108924
2,"Ashland",3296207.87517,2595041129.74,186,"79",7383565.53924,11322.7918361,7.38356553924,2.76822476248
2,"Ashland",3296207.87517,2595041129.74,187,"79",5425865.77945,12663.9107658,5.42586577945,2.00898410031
2,"Ashland",3296207.87517,2595041129.74,188,"79",1386158.37137,4663.56380018,1.38615837137,0.500923547465
2,"Ashland",3296207.87517,2595041129.74,189,"79",4225169.02487,12407.0395819,4.22516902487,1.57708021612
2,"Ashland",3296207.87517,2595041129.74,190,"79",667220.734605,4015.34114369,0.667220734605,0.236019783471
2,"Ashland",3296207.87517,2595041129.74,191,"79",31785175.2314,27813.1483849,31.7851752314,11.9599712509
2,"Ashland",3296207.87517,2595041129.74,192,"79",1259409.14084,4870.42875362,1.25940914084,0.463063962685
3,"Barron",7454324.425,1374707806.59,110,"22A",1307108897.24,183231.136635,1307.10889724,54.703317543
3,"Barron",7454324.425,1374707806.59,125,"23",1342333925.69,175095.967516,1342.33392569,50.3982404036
3,"Barron",7454324.425,1374707806.59,134,"22",1650256738.87,225543.150417,1650.25673887,313.074590117
3,"Barron",7454324.425,1374707806.59,137,"16",1274723533.81,189241.615982,1274.72353381,27.6171897036
3,"Barron",7454324.425,1374707806.59,139,"15",1313744689.72,161916.866192,1313.74468972,76.3201224802
3,"Barron",7454324.425,1374707806.59,141,"17",740780027.348,127348.614392,740.780027348,8.66419131068
4,"Bayfield",4438110.03157,3653560559.33,159,"13",2104514534.48,206937.685337,2104.51453448,134.162555122
4,"Bayfield",4438110.03157,3653560559.33,160,"9",1199537048.6,152764.954751,1199.5370486,149.223852705
4,"Bayfield",4438110.03157,3653560559.33,164,"6",1590189582.99,221376.387726,1590.18958299,270.911165091
4,"Bayfield",4438110.03157,3653560559.33,169,"2",1754293042.89,205887.20619,1754.29304289,296.431435912
4,"Bayfield",4438110.03157,3653560559.33,175,"79",114398.050836,1401.94521945,0.114398050836,0.0239339029965
4,"Bayfield",4438110.03157,3653560559.33,177,"3",1492118625.46,194132.983537,1492.11862546,554.465052129
4,"Bayfield",4438110.03157,3653560559.33,181,"79",1123572.45534,4956.67181608,1.12357245534,0.405109922477
4,"Bayfield",4438110.03157,3653560559.33,182,"79",1073148.07906,6238.47904599,1.07314807906,0.375760606431
4,"Bayfield",4438110.03157,3653560559.33,183,"79",11469778.4405,16810.2037552,11.4697784405,4.34997243049
5,"Brown",2336438.22904,294715331.076,51,"64",2473880266.9,237296.740017,2473.8802669,27.6688971163
5,"Brown",2336438.22904,294715331.076,57,"63B",500748.026861,6071.30257571,0.500748026861,0.0627035822561
5,"Brown",2336438.22904,294715331.076,59,"63B",283408.303212,4167.79916555,0.283408303212,0.0624434800743
5,"Brown",2336438.22904,294715331.076,60,"63B",12377.1509408,511.908460121,0.0123771509408,0.00307491391511
5,"Brown",2336438.22904,294715331.076,64,"64M",937305205.43,190355.347876,937.30520543,81.0118958056
5,"Brown",2336438.22904,294715331.076,70,"63B",1855332203.13,270687.694306,1855.33220313,0.996556905328
5,"Brown",2336438.22904,294715331.076,71,"80B",1470860036.43,195330.158989,1470.86003643,3.6543490899
6,"Buffalo",5695342.48166,1450045154.51,44,"61B",19395825.979,20387.8076148,19.395825979,1.16414555718
6,"Buffalo",5695342.48166,1450045154.51,63,"61",3283644635.45,322795.545844,3283.64463545,552.733398941
6,"Buffalo",5695342.48166,1450045154.51,80,"59B",2946505599.75,244426.523505,2946.50559975,5.96405932222
7,"Burnett",4049341.22307,1974778197.74,137,"16",1274723533.81,189241.615982,1274.72353381,62.3614005206
