"FID_DeerRa","COUNTY_NAM","Shape_Leng","Shape_Area","FID_dmu_19","UNIT_ID","DMUArea","AREA_SQM"
1,"Adams",3460444.06127,1300741778.31,123,"57C",1139.39368842,1.0714543828
1,"Adams",3460444.06127,1300741778.31,131,"53",1640.73778259,197.664921527
1,"Adams",3460444.06127,1300741778.31,140,"54A",1649.17074422,232.563853763
1,"Adams",3460444.06127,1300741778.31,145,"54B",1559.8047034,0.371959142979
1,"Adams",3460444.06127,1300741778.31,148,"54C",369.123232287,69.0591407287
1,"Adams",3460444.06127,1300741778.31,150,"70E",266.272344056,1.48787883148
2,"Ashland",3296207.87517,2595041129.74,0,"79",1.25940722806,0.463064307055
2,"Ashland",3296207.87517,2595041129.74,1,"79",31.7851616675,11.9599768914
2,"Ashland",3296207.87517,2595041129.74,2,"79",0.667214418725,0.236019009284
2,"Ashland",3296207.87517,2595041129.74,3,"79",4.22515039919,1.57708155491
2,"Ashland",3296207.87517,2595041129.74,4,"79",1.38616717389,0.500924361863
2,"Ashland",3296207.87517,2595041129.74,5,"79",5.42583985367,2.00897999436
2,"Ashland",3296207.87517,2595041129.74,6,"79",7.38352746362,2.76822612374
2,"Ashland",3296207.87517,2595041129.74,7,"79",5.33823914934,2.02477112793
2,"Ashland",3296207.87517,2595041129.74,8,"79",2.71616920782,1.00629678513
2,"Ashland",3296207.87517,2595041129.74,12,"79",5.25702544474,2.01056087072
2,"Ashland",3296207.87517,2595041129.74,13,"79",39.7120312133,15.203772753
2,"Ashland",3296207.87517,2595041129.74,14,"79",20.2113677966,7.71181257085
2,"Ashland",3296207.87517,2595041129.74,19,"79",6.17157087729,2.28354892559
2,"Ashland",3296207.87517,2595041129.74,20,"79",3.1057143834,1.16774004648
2,"Ashland",3296207.87517,2595041129.74,21,"78",58.8342883751,21.9476684291
2,"Ashland",3296207.87517,2595041129.74,22,"79",7.72812091101,2.925965247
2,"Ashland",3296207.87517,2595041129.74,25,"78",0.981536987628,0.285511965774
2,"Ashland",3296207.87517,2595041129.74,26,"7",734.792896743,232.763509416
2,"Ashland",3296207.87517,2595041129.74,27,"6",1139.04062896,233.302156283
2,"Ashland",3296207.87517,2595041129.74,30,"28",1655.30029938,199.01244345
2,"Ashland",3296207.87517,2595041129.74,33,"13",2104.51452509,33.1555754407
2,"Ashland",3296207.87517,2595041129.74,36,"29A",709.484827938,39.7925833028
2,"Ashland",3296207.87517,2595041129.74,37,"14",884.553046983,187.277296128
3,"Barron",7454324.425,1374707806.59,51,"17",740.779868186,8.66416776078
3,"Barron",7454324.425,1374707806.59,53,"15",1313.74466971,76.3201754152
3,"Barron",7454324.425,1374707806.59,55,"16",1274.72348162,27.6171515741
3,"Barron",7454324.425,1374707806.59,58,"22",1650.25675104,313.074620386
3,"Barron",7454324.425,1374707806.59,67,"23",1348.68736074,50.3982494264
3,"Barron",7454324.425,1374707806.59,82,"22A",1307.10896819,54.7032869955
4,"Bayfield",4438110.03157,3653560559.33,9,"79",11.4697330284,4.34996489917
4,"Bayfield",4438110.03157,3653560559.33,10,"79",1.07313851801,0.375756286958
4,"Bayfield",4438110.03157,3653560559.33,11,"79",1.12355518104,0.405099625717
4,"Bayfield",4438110.03157,3653560559.33,15,"3",1492.11847387,554.46499352
4,"Bayfield",4438110.03157,3653560559.33,17,"79",0.114391442659,0.0239344280116
4,"Bayfield",4438110.03157,3653560559.33,23,"2",1437.67489752,180.745301344
4,"Bayfield",4438110.03157,3653560559.33,27,"6",1139.04062896,160.154292614
4,"Bayfield",4438110.03157,3653560559.33,28,"5",643.887140423,226.44300106
4,"Bayfield",4438110.03157,3653560559.33,32,"9",1199.53687631,149.223824046
4,"Bayfield",4438110.03157,3653560559.33,33,"13",2104.51452509,134.162602441
5,"Brown",2336438.22904,294715331.076,110,"80B",1470.86013387,3.65435205633
5,"Brown",2336438.22904,294715331.076,111,"63B",1855.33198729,0.996560764131
5,"Brown",2336438.22904,294715331.076,117,"64M",937.305081722,81.0118831828
5,"Brown",2336438.22904,294715331.076,121,"63B",0.0123769838192,0.00307585882919
5,"Brown",2336438.22904,294715331.076,122,"63B",0.283408302292,0.0624405113502
5,"Brown",2336438.22904,294715331.076,124,"63B",0.500753448784,0.0627060857987
5,"Brown",2336438.22904,294715331.076,130,"64",2473.8804798,27.6688889136
6,"Buffalo",5695342.48166,1450045154.51,103,"59B",2946.50526518,5.96405949184
6,"Buffalo",5695342.48166,1450045154.51,118,"61",3283.64475955,552.733398677
6,"Buffalo",5695342.48166,1450045154.51,137,"61B",19.395867739,1.16414783553
7,"Burnett",4049341.22307,1974778197.74,34,"8",1030.4053157,101.250808498
7,"Burnett",4049341.22307,1974778197.74,39,"11",1013.75261095,200.578471238
7,"Burnett",4049341.22307,1974778197.74,42,"10",1002.44037255,278.041189525
7,"Burnett",4049341.22307,1974778197.74,53,"15",1313.74466971,120.228111614
7,"Burnett",4049341.22307,1974778197.74,55,"16",1274.72348162,62.361404903
8,"Calumet",1276602.85896,177572197.146,111,"63B",1855.33198729,0.940654316479
8,"Calumet",1276602.85896,177572197.146,130,"64",2473.8804798,57.1630640139
8,"Calumet",1276602.85896,177572197.146,133,"W",534.17182822,0.0846805208561
8,"Calumet",1276602.85896,177572197.146,143,"69A",2287.89615546,10.3726097764
9,"Chippewa",7886917.55977,1724383618.6,64,"24",881.9786563,70.1677664351
9,"Chippewa",7886917.55977,1724383618.6,67,"23",1348.68736074,171.745731654
9,"Chippewa",7886917.55977,1724383618.6,82,"22A",1307.10896819,43.8900013953
9,"Chippewa",7886917.55977,1724383618.6,96,"59A",2186.80471766,272.360442641
9,"Chippewa",7886917.55977,1724383618.6,103,"59B",2946.50526518,69.8043742589
9,"Chippewa",7886917.55977,1724383618.6,108,"58",1768.64937476,36.3621196761
10,"Clark",7400022.9875,1936691874.9,96,"59A",2186.80471766,12.1595027582
10,"Clark",7400022.9875,1936691874.9,99,"27",1269.20931277,145.035882071
10,"Clark",7400022.9875,1936691874.9,108,"58",1768.64937476,289.980790362
10,"Clark",7400022.9875,1936691874.9,116,"57B",1204.39177832,115.847030763
10,"Clark",7400022.9875,1936691874.9,125,"59C",2211.31684174,3.11003171125
10,"Clark",7400022.9875,1936691874.9,126,"55",1753.38664049,177.895478108
10,"Clark",7400022.9875,1936691874.9,129,"56",954.930937222,3.73219765249
11,"Columbia",5205603.56722,961401294.363,138,"67A",1247.28445156,43.798224408
11,"Columbia",5205603.56722,961401294.363,139,"67B",798.616288463,21.1080886488
11,"Columbia",5205603.56722,961401294.363,142,"68A",1476.11798461,0.000639461549219
11,"Columbia",5205603.56722,961401294.363,145,"54B",1559.8047034,0.000683002254037
11,"Columbia",5205603.56722,961401294.363,148,"54C",369.123232287,1.78803674198
11,"Columbia",5205603.56722,961401294.363,150,"70E",266.272344056,55.3684915645
11,"Columbia",5205603.56722,961401294.363,152,"68B",1610.81053652,0.737237158803
